country,year,age_band,value_lf,value_unemp,unemployment_rate
Albania,2013,45-54,680.165,85.102,12.511964008733175
Albania,2013,55-64,580.062,55.695,9.601559833259204
Albania,2013,65+,103.55100000000002,1.8239999999999998,1.7614508792768775
Albania,2013,,3651.816,579.396,15.865969150691054
Albania,2014,15-24,573.588,228.684,39.869034917048474
Albania,2014,25-34,566.596,125.01,22.063339663534514
Albania,2014,35-44,558.234,85.375,15.293765696822478
Albania,2014,45-54,619.012,75.93700000000001,12.267452004161473
Albania,2014,55-64,610.4399999999999,74.46300000000001,12.198250442303916
Albania,2014,65+,92.946,1.476,1.5880188496546381
Albania,2014,,3749.337,676.9350000000001,18.054792087241026
Albania,2015,15-24,607.172,242.732,39.977469316766914
Albania,2015,25-34,558.16,125.904,22.556972910993263
Albania,2015,35-44,548.296,69.428,12.662503465281524
Albania,2015,45-54,675.972,80.85,11.960554579183754
Albania,2015,55-64,698.124,76.515,10.960087319731166
Albania,2015,65+,92.67,1.0979999999999999,1.184849465846552
Albania,2015,,3919.821,673.932,17.19292794237288
Albania,2016,15-24,564.612,206.721,36.61293064972052
Albania,2016,25-34,638.184,114.776,17.984781818409736
Albania,2016,35-44,609.828,79.346,13.011209718150038
Albania,2016,45-54,659.422,71.465,10.837521344450138
Albania,2016,55-64,685.4209999999999,74.07900000000001,10.807810090440768
Albania,2016,65+,112.21200000000002,1.884,1.678964816597155
Albania,2016,,4082.244,629.385,15.417623248389855
Albania,2017,15-24,558.835,176.645,31.609509067971764
Albania,2017,25-34,668.814,113.205,16.92623061120132
Albania,2017,35-44,623.607,64.798,10.390839102190965
Albania,2017,45-54,657.55,65.938,10.027830583225612
Albania,2017,55-64,659.103,61.353,9.30856027054952
Albania,2017,65+,135.534,3.771,2.7823276816149454
Albania,2017,,4138.719,563.52,13.61580720991205
Albania,2018,15-24,659.156,185.404,28.12748423741876
Albania,2018,25-34,695.001,110.31,15.871919608748767
Albania,2018,35-44,557.898,50.224,9.002362439012149
Albania,2018,45-54,628.312,49.44,7.868702173442493
Albania,2018,55-64,718.6229999999999,61.5,8.558033906512872
Albania,2018,65+,169.332,1.755,1.0364254836652258
Albania,2018,,4204.14,517.266,12.303729181235637
Albania,2019,15-24,650.128,175.388,26.977456746979055
Albania,2019,25-34,730.032,102.41,14.028152190588905
Albania,2019,35-44,562.903,49.562,8.804714133696214
Albania,2019,45-54,610.743,50.042,8.19362645171537
Albania,2019,55-64,753.546,54.876000000000005,7.2823689595592045
Albania,2019,65+,188.685,1.896,1.004849352094761
Albania,2019,,4285.344,491.337,11.465520620981652
Albania,2020,15-24,604.452,159.968,26.46496330560574
Albania,2020,25-34,722.818,109.144,15.099789988627844
Albania,2020,35-44,561.54,52.96,9.431207037788939
Albania,2020,45-54,597.014,50.626,8.479868143795622
Albania,2020,55-64,750.933,49.872,6.641338175309914
Albania,2020,65+,188.976,1.6919999999999997,0.8953517907035812
Albania,2020,,4215.3060000000005,490.635,11.63936852982915
Albania,2021,15-24,590.931,159.956,27.06847330737429
Albania,2021,25-34,717.029,99.085,13.81882741144361
Albania,2021,35-44,561.826,48.905,8.704652330080844
Albania,2021,45-54,584.131,43.334,7.418541388832301
Albania,2021,55-64,769.268,72.987,9.48785078802186
Albania,2021,65+,222.144,5.3069999999999995,2.3889909248055314
Albania,2021,,4229.088,485.24699999999996,11.474034117994233
Albania,2022,15-24,593.268,145.576,24.537982834064874
Albania,2022,25-34,737.548,99.40299999999999,13.47749570197465
Albania,2022,35-44,581.038,48.771,8.393771147498098
Albania,2022,45-54,594.393,44.198,7.435821081338441
Albania,2022,55-64,846.777,64.908,7.665300309290403
Albania,2022,65+,203.217,8.064,3.968171954118012
Albania,2022,,4364.412,470.71500000000003,10.785301662629468
Albania,2023,15-24,577.328,146.749,25.418652828201648
Albania,2023,25-34,746.524,107.655,14.42083576683402
Albania,2023,35-44,610.097,52.931,8.675833514998436
Albania,2023,45-54,587.522,39.302,6.68945162904538
Albania,2023,55-64,872.1590000000001,61.162,7.012712131618201
Albania,2023,65+,225.67200000000003,3.399,1.50616824417739
Albania,2023,,4447.044,474.45599999999996,10.669019690383093
Algeria,2001,15-24,9057.14,4325.596,47.75896143815818
Algeria,2001,25-34,5518.25,1719.748,31.164735196846827
Algeria,2001,35-44,3772.804,499.598,13.242087317549494
Algeria,2001,45-54,2393.16,261.718,10.93608450751308
Algeria,2001,55-64,1166.129,52.551,4.506448257439787
Algeria,2001,,25705.568999999996,7018.343999999999,27.30281519930565
Algeria,2005,15-24,8998.272,2796.32,31.07618885048151
Algeria,2005,25-34,6414.206,1172.16,18.274436461816162
Algeria,2005,35-44,4333.508,258.904,5.974466875335179
Algeria,2005,45-54,2868.32,103.99600000000001,3.6256763541027506
Algeria,2005,55-64,1548.749,23.700000000000003,1.53026733189174
Algeria,2005,,28968.131999999998,4423.647,15.270736131691198
Algeria,2006,15-24,8829.884,2145.584,24.29911876532013
Algeria,2006,25-34,6338.97,1007.754,15.897756260086418
Algeria,2006,35-44,5196.462,280.114,5.390475288763777
Algeria,2006,45-54,3004.118,107.918,3.592335587350431
Algeria,2006,55-64,1617.8,19.799999999999997,1.2238842873037457
Algeria,2006,,30328.938000000002,3722.5229999999997,12.27383233794734
Algeria,2007,15-24,8706.064,2386.596,27.41303073352091
Algeria,2007,25-34,6701.514,1161.024,17.324801529922937
Algeria,2007,35-44,4616.674,283.03,6.130603980268045
Algeria,2007,45-54,2962.766,92.748,3.1304530968696147
Algeria,2007,55-64,1702.911,28.839,1.69351187466638
Algeria,2007,,29906.718,4123.989,13.789507093356079
Algeria,2008,15-24,8872.0,2112.0,23.805229936880075
Algeria,2008,25-34,6850.0,994.0,14.510948905109489
Algeria,2008,35-44,4724.0,206.0,4.360711261642676
Algeria,2008,45-54,3228.0,68.0,2.1065675340768277
Algeria,2008,55-64,1828.0,21.0,1.148796498905908
Algeria,2008,,30945.0,3507.0,11.333010179350461
Algeria,2009,15-24,8791.48,1869.017,21.259412522123693
Algeria,2009,25-34,6979.86,923.731,13.234233924462668
Algeria,2009,35-44,4765.22,193.586,4.062477703023156
Algeria,2009,45-54,3480.74,72.54,2.084039600774548
Algeria,2009,55-64,1756.41,28.433999999999997,1.6188703093241326
Algeria,2009,,31632.06,3214.9800000000005,10.163675713816932
Algeria,2010,15-24,8633.48,1860.0,21.544035545342087
Algeria,2010,25-34,7215.62,952.0,13.193599441212259
Algeria,2010,35-44,4849.34,182.0,3.7530880490953407
Algeria,2010,45-54,3647.22,70.0,1.9192700193572092
Algeria,2010,55-64,1891.9099999999999,30.0,1.5856991083085348
Algeria,2010,,32434.5,3228.0,9.952365536697036
Algeria,2011,15-24,7792.0,1748.0,22.433264887063658
Algeria,2011,25-34,7212.0,914.0,12.673322240709927
Algeria,2011,35-44,4916.0,220.0,4.475183075671278
Algeria,2011,45-54,3742.0,92.0,2.4585783003741315
Algeria,2011,55-64,2087.0,36.0,1.7249640632486822
Algeria,2011,,31983.0,3186.0,9.961542069224276
Algeria,2012,15-24,7800.0,2148.0,27.53846153846154
Algeria,2012,25-34,7920.0,992.0,12.525252525252526
Algeria,2012,35-44,5364.0,296.0,5.51826994780015
Algeria,2012,45-54,3990.0,110.0,2.756892230576441
Algeria,2012,55-64,2228.0,51.0,2.289048473967684
Algeria,2012,,34269.0,3759.0,10.969097434999563
Algeria,2013,15-24,8096.0,2008.0,24.802371541501977
Algeria,2013,25-34,8426.0,938.0,11.132209826726799
Algeria,2013,35-44,5696.0,274.0,4.810393258426966
Algeria,2013,45-54,4044.0,108.0,2.6706231454005933
Algeria,2013,55-64,2272.0,39.0,1.716549295774648
Algeria,2013,,35892.0,3525.0,9.821130056837179
Algeria,2014,15-24,7588.0,1914.987,25.23704533473906
Algeria,2014,25-34,7958.0,1064.592,13.377632570997738
Algeria,2014,35-44,5464.0,283.716,5.192459736456809
Algeria,2014,45-54,4010.0,107.277,2.6752369077306732
Algeria,2014,55-64,2271.0,22.821,1.004887714663144
Algeria,2014,65+,82.0,0.0,0.0
Algeria,2014,,34359.0,3642.0,10.599842835938182
Algeria,2015,15-24,1736.0,518.0,29.838709677419356
Algeria,2016,15-24,1676.0,431.0,25.71599045346062
Algeria,2017,15-24,1814.5,526.5,29.016257922292642
American Samoa,1990,15-24,10.364,1.24,11.964492473948281
American Samoa,1990,25-34,9.668,0.496,5.130326851468763
American Samoa,1990,35-44,6.816,0.172,2.523474178403756
American Samoa,1990,45-54,4.236,0.126,2.974504249291785
American Samoa,1990,55-64,2.748,0.045,1.6375545851528381
American Samoa,1990,65+,0.9930000000000001,0.012,1.2084592145015105
American Samoa,1990,,42.594,2.178,5.113396252993379
Angola,2004,15-24,6685.236,3630.804,54.31078274574001
Angola,2004,25-34,3117.83,490.865,15.743802580641022
Angola,2004,35-44,2729.61,229.902,8.422521898732786
Angola,2004,45-54,1501.782,132.068,8.794085959213788
Angola,2004,55-64,943.86,104.229,11.042845337232217
Angola,2004,65+,586.122,46.905,8.002600141267518
Angola,2004,,17567.738999999998,4153.485,23.64268389916312
Angola,2009,15-24,5449.693,498.036,9.138790019914882
Angola,2009,25-34,3224.651,117.322,3.638285197374848
Angola,2009,35-44,2468.505,49.839,2.0189953028249894
Angola,2009,45-54,1782.978,14.195,0.7961399411546299
Angola,2009,55-64,868.936,4.132,0.4755240892309675
Angola,2009,65+,791.808,6.237,0.7876909553831233
Angola,2009,,17396.682,657.9929999999999,3.7822902091329826
Angola,2010,15-24,3871.452,751.974,19.423565112004486
Angola,2010,55-64,476.068,18.548,3.8960820723089977
Angola,2010,65+,267.854,2.055,0.7672090019189559
Angola,2010,,7002.288,660.409,9.431331587618219
Angola,2011,15-24,5287.34,1837.684,34.75630468250576
Angola,2011,55-64,508.506,29.241,5.7503746268480604
Angola,2011,65+,318.495,10.047,3.1545236188951167
Angola,2011,,8132.968,1364.215,16.77388869598405
Angola,2014,15-24,4794.624,830.988,17.33166146083614
Angola,2014,25-34,3505.7349999999997,389.746,11.117383373244127
Angola,2014,35-44,2680.179,193.32,7.212951075282657
Angola,2014,45-54,1757.5529999999999,87.178,4.960191812138809
Angola,2014,55-64,1325.129,43.527,3.284736806756173
Angola,2014,65+,722.571,9.831,1.3605583395956937
Angola,2014,,17558.871,1681.962,9.578987168366348
Angola,2019,15-24,12716.952,3967.368,31.19747562151686
Angola,2019,25-34,6858.682,1307.914,19.069465532882266
Angola,2019,35-44,5133.874,499.732,9.734013729203328
Angola,2019,45-54,3400.392,189.004,5.5583003371376005
Angola,2019,55-64,2783.397,65.349,2.3478145589723636
Angola,2019,65+,1282.7759999999998,17.375999999999998,1.3545622930269978
Angola,2019,,36693.308999999994,6053.226,16.496811448648582
Angola,2021,15-24,13596.032,4022.02,29.582307543848092
Angola,2021,25-34,7377.0830000000005,1409.806,19.11061594399846
Angola,2021,35-44,5457.809,471.72,8.64302873185925
Angola,2021,45-54,3852.564,211.074,5.4787928247265985
Angola,2021,55-64,2998.785,89.776,2.993745800382488
Angola,2021,65+,1351.5330000000001,7.7459999999999996,0.5731269602739999
Angola,2021,,39578.526,6252.939,15.798817267727456
Angola,2022,15-24,14155.192,3766.004,26.605107157854164
Angola,2022,25-34,7618.662,1296.443,17.0166756314954
Angola,2022,35-44,5768.416,443.19,7.68304505084238
Angola,2022,45-54,3910.886,170.644,4.363307956304531
Angola,2022,55-64,3166.248,102.708,3.243839396029622
Angola,2022,65+,1421.3039999999999,19.424999999999997,1.3667026899241823
Angola,2022,,41150.892,5812.049999999999,14.123752165566664
Anguilla,2001,15-24,4.472,0.596,13.327370304114488
Anguilla,2001,25-34,3.382,0.178,5.263157894736842
Anguilla,2001,35-44,3.446,0.158,4.585026117237376
Anguilla,2001,45-54,1.958,0.076,3.8815117466802858
Anguilla,2001,55-64,1.614,0.126,7.806691449814126
Anguilla,2001,,18.147000000000002,1.218,6.711853198875846
Antigua and Barbuda,2001,15-24,25.256,5.012,19.844789356984478
Antigua and Barbuda,2001,25-34,23.876,1.842,7.714860110571285
Antigua and Barbuda,2001,35-44,21.814,1.29,5.913633446410562
Antigua and Barbuda,2001,45-54,12.824,0.672,5.240174672489084
Antigua and Barbuda,2001,55-64,8.52,0.405,4.753521126760564
Antigua and Barbuda,2001,65+,3.3600000000000003,0.11399999999999999,3.392857142857142
Antigua and Barbuda,2001,,118.656,9.987,8.416767799352751
Antigua and Barbuda,2018,15-24,27.576,7.12,25.81955323469684
Antigua and Barbuda,2018,25-34,22.755,2.091,9.189189189189191
Antigua and Barbuda,2018,35-44,26.81,1.934,7.213726221559121
